FIPS_code,State,County,Civilian_labor_force_2015,Employed_2015,Unemployed_2015,Unemployment_rate_2015,Civilian_labor_force_2016,Employed_2016,Unemployed_2016,Unemployment_rate_2016,Civilian_labor_force_2017,Employed_2017,Unemployed_2017,Unemployment_rate_2017,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Civilian_labor_force_2019,Employed_2019,Unemployed_2019,Unemployment_rate_2019,Civilian_labor_force_2020,Employed_2020,Unemployed_2020,Unemployment_rate_2020,Civilian_labor_force_2021,Employed_2021,Unemployed_2021,Unemployment_rate_2021,Median_Household_Income_2020,Med_HH_Income_Percent_of_State_Total_2020
1001,AL,"Autauga County, AL",25541,24206,1335,5,25710,24395,1315,5,26269,25224,1045,4,26475,25524,951,4,26684,25920,764,3,26405,24985,1420,5,26341,25599,742,3,67565,125
1003,AL,"Baldwin County, AL",87493,82619,4874,6,89778,84972,4806,5,93152,89286,3866,4,96252,92769,3483,4,98921,96044,2877,3,98910,92751,6159,6,99427,96481,2946,3,71135,132
1005,AL,"Barbour County, AL",8590,7823,767,9,8334,7638,696,8,8415,7914,501,6,8505,8071,434,5,8637,8292,345,4,8680,8004,676,8,8197,7728,469,6,38866,72
1007,AL,"Bibb County, AL",8552,7983,569,7,8539,7986,553,7,8648,8261,387,5,8698,8354,344,4,8772,8488,284,3,8712,8073,639,7,8560,8262,298,4,50907,94
1009,AL,"Blount County, AL",24416,23089,1327,5,24380,23061,1319,5,25009,23979,1030,4,25337,24454,883,4,25582,24861,721,3,25116,23973,1143,5,25127,24529,598,2,55203,102
1011,AL,"Bullock County, AL",4765,4385,380,8,4785,4457,328,7,4890,4644,246,5,4844,4619,225,5,4861,4673,188,4,4877,4582,295,6,4606,4422,184,4,33124,61
1013,AL,"Butler County, AL",9113,8417,696,8,9116,8484,632,7,9046,8536,510,6,9070,8642,428,5,9317,8956,361,4,9236,8345,891,10,8796,8328,468,5,42268,78
1015,AL,"Calhoun County, AL",45808,42566,3242,7,45450,42470,2980,7,46304,43960,2344,5,46805,44652,2153,5,46804,45064,1740,4,47022,43367,3655,8,46118,44212,1906,4,50259,93
1017,AL,"Chambers County, AL",14939,14031,908,6,14858,14044,814,6,15375,14734,641,4,15530,14929,601,4,15992,15502,490,3,16093,14884,1209,8,15752,15173,579,4,39318,73
1019,AL,"Cherokee County, AL",11132,10521,611,6,11241,10671,570,5,11470,10993,477,4,11813,11394,419,4,11906,11546,360,3,11672,11073,599,5,11808,11512,296,3,50388,93
